round,amount,first,second,third,,cyb,dlp,str
73,5.00 ,3.22 ,0.45 ,1.33 ,,1.33 ,3.22 ,0.45 
74,5.00 ,2.90 ,0.77 ,1.33 ,,1.33 ,2.90 ,0.77 
75,5.00 ,2.53 ,2.13 ,0.34 ,,0.34 ,2.53 ,2.13 
76,5.00 ,2.06 ,2.43 ,0.51 ,,0.51 ,2.06 ,2.43 
77,5.00 ,2.53 ,1.57 ,0.90 ,,0.90 ,2.53 ,1.57 
78,5.00 ,0.91 ,0.99 ,3.10 ,,3.10 ,0.91 ,0.99 
79,5.00 ,0.44 ,1.08 ,3.48 ,,1.08 ,0.44 ,3.48 
80,5.00 ,2.75 ,1.16 ,1.09 ,,1.09 ,2.75 ,1.16 
81,5.00 ,1.55 ,2.53 ,0.92 ,,0.92 ,1.55 ,2.53 
82,5.00 ,3.11 ,1.58 ,0.31 ,,0.31 ,3.11 ,1.58 
83,5.00 ,2.47 ,0.26 ,2.27 ,,2.27 ,2.47 ,0.26 
84,5.00 ,0.43 ,3.92 ,0.65 ,,0.65 ,0.43 ,3.92 
85,5.00 ,3.12 ,1.20 ,0.68 ,,0.68 ,3.12 ,1.20 
86,5.00 ,1.69 ,1.00 ,2.31 ,,2.31 ,1.69 ,1.00 
87,5.00 ,1.54 ,0.78 ,2.68 ,,2.68 ,1.54 ,0.78 
88,5.00 ,2.24 ,1.57 ,1.19 ,,1.19 ,2.24 ,1.57 
89,5.00 ,1.82 ,0.93 ,2.25 ,,2.25 ,1.82 ,0.93 
90,5.00 ,0.16 ,4.22 ,0.62 ,,0.62 ,0.16 ,4.22 
91,5.00 ,2.13 ,1.41 ,1.46 ,,1.46 ,2.13 ,1.41 
92,5.00 ,0.99 ,2.16 ,1.85 ,,1.85 ,0.99 ,2.16 
93,5.00 ,1.23 ,2.11 ,1.66 ,,1.66 ,1.23 ,2.11 
94,5.00 ,1.35 ,3.50 ,0.15 ,,0.15 ,1.35 ,3.50 
95,5.00 ,2.85 ,1.06 ,1.09 ,,1.09 ,2.85 ,1.06 
96,5.00 ,3.23 ,0.55 ,1.22 ,,1.22 ,3.23 ,0.55 
97,5.00 ,2.21 ,0.85 ,1.94 ,,1.94 ,2.21 ,0.85 
98,5.00 ,1.77 ,1.53 ,1.70 ,,1.70 ,1.77 ,1.53 
99,5.00 ,0.65 ,3.83 ,0.52 ,,0.52 ,0.65 ,3.83 
100,5.00 ,3.17 ,1.49 ,0.34 ,,0.34 ,3.17 ,1.49 
